epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,3422.08,0.83246,0.57093,1.16253,0.91329,0.92171,0.95408,0.70316,0.92225,0.53565,1.28161,0.0010166,0.0010166,0.0010166
151,3445.5,0.8071,0.56318,1.16158,0.9155,0.91815,0.944,0.686,0.91156,0.54647,1.26593,0.00101,0.00101,0.00101
152,3469.01,0.81972,0.5634,1.16516,0.94619,0.88968,0.94668,0.69867,0.96966,0.55126,1.29887,0.0010034,0.0010034,0.0010034
153,3492.43,0.80621,0.57104,1.16297,0.91373,0.91459,0.93074,0.68077,0.9373,0.58624,1.30839,0.0009968,0.0009968,0.0009968
154,3515.87,0.80818,0.55915,1.15605,0.92968,0.90391,0.92605,0.68152,0.92677,0.5577,1.31008,0.0009902,0.0009902,0.0009902
155,3537.54,0.76943,0.53885,1.13495,0.91289,0.90747,0.93605,0.68276,0.91388,0.57124,1.31169,0.0009836,0.0009836,0.0009836
156,3560.99,0.82129,0.56889,1.16111,0.92089,0.89324,0.94099,0.6926,0.92887,0.59185,1.26385,0.000977,0.000977,0.000977
157,3582.25,0.81202,0.56625,1.16015,0.91151,0.92527,0.95757,0.70797,0.90266,0.53893,1.23504,0.0009704,0.0009704,0.0009704
158,3605.74,0.79389,0.56403,1.15118,0.88666,0.91876,0.94843,0.69789,0.91391,0.57713,1.26248,0.0009638,0.0009638,0.0009638
159,3629.27,0.80712,0.56711,1.16085,0.92464,0.88968,0.93162,0.69545,0.88156,0.57825,1.25141,0.0009572,0.0009572,0.0009572
160,3652.77,0.77804,0.54101,1.14068,0.91,0.9356,0.95293,0.70685,0.89943,0.56326,1.23385,0.0009506,0.0009506,0.0009506
161,3676.26,0.80543,0.55867,1.14528,0.90734,0.95018,0.95325,0.70443,0.90741,0.53643,1.25891,0.000944,0.000944,0.000944
162,3699.6,0.79996,0.55202,1.15017,0.90025,0.92883,0.94824,0.70578,0.91505,0.53767,1.24234,0.0009374,0.0009374,0.0009374
163,3720.6,0.78759,0.54779,1.15005,0.93546,0.90036,0.94412,0.70432,0.8974,0.54392,1.26956,0.0009308,0.0009308,0.0009308
164,3742.35,0.77421,0.55001,1.13614,0.93678,0.91103,0.93607,0.68797,0.9369,0.55923,1.27685,0.0009242,0.0009242,0.0009242
165,3763.31,0.78092,0.55976,1.13818,0.90101,0.8968,0.932,0.6853,0.91185,0.54291,1.25326,0.0009176,0.0009176,0.0009176
166,3786.77,0.79173,0.55323,1.14617,0.88038,0.94291,0.94517,0.69767,0.90882,0.56904,1.24946,0.000911,0.000911,0.000911
167,3808.24,0.78852,0.54509,1.14705,0.95308,0.90036,0.954,0.70078,0.92312,0.52673,1.27748,0.0009044,0.0009044,0.0009044
168,3829.77,0.77044,0.54976,1.13774,0.91787,0.91475,0.94332,0.69468,0.90825,0.53215,1.28417,0.0008978,0.0008978,0.0008978
169,3853.18,0.78721,0.55092,1.14088,0.92725,0.91103,0.94002,0.6919,0.92424,0.57347,1.24936,0.0008912,0.0008912,0.0008912
170,3876.55,0.78271,0.54274,1.14304,0.91413,0.90927,0.93404,0.68791,0.91127,0.57595,1.26463,0.0008846,0.0008846,0.0008846
171,3900.13,0.77482,0.54713,1.13433,0.92884,0.89324,0.9376,0.69538,0.92465,0.54748,1.29118,0.000878,0.000878,0.000878
172,3923.64,0.7865,0.53949,1.14652,0.91658,0.91459,0.94462,0.68207,0.94147,0.53664,1.30934,0.0008714,0.0008714,0.0008714
173,3947,0.75043,0.53983,1.13798,0.93583,0.88223,0.95325,0.7225,0.89383,0.53973,1.27284,0.0008648,0.0008648,0.0008648
174,3970.48,0.77002,0.52766,1.13432,0.92523,0.89324,0.94662,0.71235,0.87511,0.53323,1.24252,0.0008582,0.0008582,0.0008582
175,3993.94,0.77152,0.52631,1.12968,0.88708,0.92259,0.94393,0.7031,0.90159,0.53891,1.2908,0.0008516,0.0008516,0.0008516
176,4017.39,0.76995,0.53405,1.13207,0.90768,0.91103,0.94212,0.70096,0.91713,0.53575,1.30177,0.000845,0.000845,0.000845
177,4040.81,0.76346,0.53546,1.13157,0.91939,0.90747,0.94389,0.69627,0.91769,0.54794,1.28115,0.0008384,0.0008384,0.0008384
178,4064.25,0.76759,0.54805,1.14025,0.90158,0.92527,0.94454,0.68734,0.89937,0.54528,1.26473,0.0008318,0.0008318,0.0008318
